,"Цена, р./кг",Сталь,"Цена, р./м2",Доп. размер,"Цена, р./пог.м",Размер,"Цена, р./шт.",Наименование,ГОСТ,"Цена, р./т"
2221,,ст45,,,, 210,,Круг  г/к, ,68 990 1-5т
2222,,ст20,,,, 210,,Круг  г/к, ,68 990 1-5т
2223,,20Х,,,, 210,,Круг  г/к, ,73 990 1-5т
2224,,ст45,,,, 210,,Круг  г/к, ,68 990 1-5т
2225,,18ХГТ,,,, 210,,Круг  г/к, ,86 990 1-5т
2226,,38Х2МЮА,,,, 210,,Круг  г/к, ,124 990 1-5т
2227,,30ХГСА,,,, 210,,Круг  г/к, ,86 990 1-5т
2228,,ст3,,,, 210,,Круг  г/к, ,68 990 1-5т
2229,,65Г,,,, 210,,Круг  г/к, ,79 990 1-5т
2230,,40Х,,,, 210,,Круг  г/к, ,73 990 1-5т
2231,,65Г,,,, 220,,Круг  г/к, ,79 990 1-5т
2232,,ст3,,,, 200,,Круг  г/к, ,68 990 1-5т
2233,,38Х2МЮА,,,, 200,,Круг  г/к, ,124 990 1-5т
2234,,ст20,,,, 190,,Круг  г/к, ,68 990 1-5т
2235,,ст45,,,, 190,,Круг  г/к, ,68 990 1-5т
2236,,09Г2С,,,, 190,,Круг  г/к, ,75 990 1-5т
2237,,40Х,,,, 190,,Круг  г/к, ,73 990 1-5т
2238,,30ХГСА,,,, 190,,Круг  г/к, ,86 990 1-5т
2239,,9ХС,,,, 190,,Круг  г/к, ,102 990 1-5т
2240,,40ХН,,,, 190,,Круг  г/к, ,124 990 1-5т
2241,,38Х2МЮА,,,, 190,,Круг  г/к, ,124 990 1-5т
2242,,65Г,,,, 180,,Круг  г/к, ,77 990 1-5т
2243,,30ХГСА,,,, 180,,Круг  г/к, ,77 990 1-5т
2244,,18ХГТ,,,, 180,,Круг  г/к, ,79 990 1-5т
2245,,38Х2МЮА,,,, 180,,Круг  г/к, ,121 990 1-5т
2246,,40Х,,,, 180,,Круг  г/к, ,58 990 1-5т
2247,,20Х,,,, 180,,Круг  г/к, ,58 990 1-5т
2248,,ст45,,,, 180,,Круг  г/к, ,53 990 1-5т
2249,,ст35,,,, 180,,Круг  г/к, ,53 990 1-5т
2250,,ст20,,,, 180,,Круг  г/к, ,53 990 1-5т
2251,,20Х,,,, 200,,Круг  г/к, ,73 990 1-5т
2252,,ст35,,,, 190,,Круг  г/к, ,68 990 1-5т
2253,,ст45,,,, 190,,Круг  г/к, ,68 990 1-5т
2254,,40Х,,,, 200,,Круг  г/к, ,73 990 1-5т
2255,,65Г,,,, 200,,Круг  г/к, ,79 990 1-5т
2256,,ст20,,,, 200,,Круг  г/к, ,68 990 1-5т
2257,,09Г2С,,,, 200,,Круг  г/к, ,75 990 1-5т
2258,,ст35,,,, 200,,Круг  г/к, ,68 990 1-5т
2259,,ст45,,,, 200,,Круг  г/к, ,68 990 1-5т
2260,,У8А,,,, 200,,Круг  г/к, ,79 990 1-5т
2261,,ст3,,,, 190,,Круг  г/к, ,68 990 1-5т
2262,,12ХН3А,,,, 200,,Круг  г/к, ,196 990 1-5т
2263,,40ХН2МА,,,, 200,,Круг  г/к, ,142 990 1-5т
2264,,ст20,,,, 190,,Круг  г/к, ,68 990 1-5т
2265,,40Х,,,, 190,,Круг  г/к, ,73 990 1-5т
2266,,09Г2С,,,, 190,,Круг  г/к, ,75 990 1-5т
2267,,30ХГСА,,,, 190,,Круг  г/к, ,86 990 1-5т
2268,,38Х2МЮА,,,, 190,,Круг  г/к, ,124 990 1-5т
2269,,ст35,,,, 190,,Круг  г/к, ,68 990 1-5т
2270,,40ХН,,,, 200,,Круг  г/к, ,124 990 1-5т
2271,,20Х,,,, 220,,Круг  г/к, ,73 990 1-5т
2272,,40Х,,,, 220,,Круг  г/к, ,73 990 1-5т
2273,,38Х2МЮА,,,, 220,,Круг  г/к, ,124 990 1-5т
2274,,38Х2МЮА,,,, 250,,Круг  г/к, ,129 990 1-5т
2275,,ст20,,,, 250,,Круг  г/к, ,68 990 1-5т
2276,,40ХН2МА,,,, 250,,Круг  г/к, ,155 990 1-5т
2277,,12ХН3А,,,, 250,,Круг  г/к, ,206 990 1-5т
2278,,ст20,,,, 240,,Круг  г/к, ,68 990 1-5т
2279,,40Х,,,, 240,,Круг  г/к, ,79 990 1-5т
2280,,18ХГТ,,,, 240,,Круг  г/к, ,89 990 1-5т
2281,,18ХГТ,,,, 250,,Круг  г/к, ,89 990 1-5т
2282,,ст45,,,, 240,,Круг  г/к, ,68 990 1-5т
2283,,ст35,,,, 240,,Круг  г/к, ,68 990 1-5т
2284,,30ХГСА,,,, 240,,Круг  г/к, ,86 990 1-5т
2285,,ст45,,,, 240,,Круг  г/к, ,68 990 1-5т
2286,,ст20,,,, 240,,Круг  г/к, ,68 990 1-5т
2287,,40Х,,,, 240,,Круг  г/к, ,79 990 1-5т
2288,,40ХН2МА,,,, 240,,Круг  г/к, ,155 990 1-5т
2289,,40ХН,,,, 240,,Круг  г/к, ,139 990 1-5т
2290,,38Х2МЮА,,,, 240,,Круг  г/к, ,129 990 1-5т
2291,,12ХН3А,,,, 240,,Круг  г/к, ,206 990 1-5т
2292,,40Х,,,, 250,,Круг  г/к, ,79 990 1-5т
2293,,ст45,,,, 250,,Круг  г/к, ,68 990 1-5т
2294,,09Г2С,,,, 260,,Круг  г/к, ,89 990 1-5т
2295,,65Г,,,, 260,,Круг  г/к, ,99 990 1-5т
2296,,40ХН2МА,,,, 260,,Круг  г/к, ,164 990 1-5т
2297,,40ХН,,,, 260,,Круг  г/к, ,149 990 1-5т
2298,,40Х,,,, 250,,Круг  г/к, ,79 990 1-5т
2299,,20Х,,,, 250,,Круг  г/к, ,79 990 1-5т
2300,,ст20,,,, 250,,Круг  г/к, ,68 990 1-5т
2301,,20Х,,,, 250,,Круг  г/к, ,79 990 1-5т
2302,,65Г,,,, 250,,Круг  г/к, ,89 990 1-5т
2303,,18ХГТ,,,, 250,,Круг  г/к, ,89 990 1-5т
2304,,ст35,,,, 250,,Круг  г/к, ,68 990 1-5т
2305,,09Г2С,,,, 250,,Круг  г/к, ,78 990 1-5т
2306,,ст45,,,, 250,,Круг  г/к, ,68 990 1-5т
2307,,ст3,,,, 250,,Круг  г/к, ,68 990 1-5т
2308,,ст35,,,, 250,,Круг  г/к, ,68 990 1-5т
2309,,65Г,,,, 250,,Круг  г/к, ,89 990 1-5т
2310,,38Х2МЮА,,,, 250,,Круг  г/к, ,129 990 1-5т
2311,,ст45,,,, 230,,Круг  г/к, ,68 990 1-5т
2312,,ст35,,,, 230,,Круг  г/к, ,68 990 1-5т
2313,,09Г2С,,,, 230,,Круг  г/к, ,78 990 1-5т
2314,,ст45,,,, 220,,Круг  г/к, ,68 990 1-5т
2315,,40Х,,,, 220,,Круг  г/к, ,73 990 1-5т
2316,,38Х2МЮА,,,, 220,,Круг  г/к, ,124 990 1-5т
2317,,ст20,,,, 220,,Круг  г/к, ,68 990 1-5т
2318,,20Х,,,, 220,,Круг  г/к, ,73 990 1-5т
2319,,18ХГТ,,,, 220,,Круг  г/к, ,86 990 1-5т
2320,,ст35,,,, 220,,Круг  г/к, ,68 990 1-5т
2321,,40ХН,,,, 230,,Круг  г/к, ,139 990 1-5т
2322,,30ХГСА,,,, 220,,Круг  г/к, ,86 990 1-5т
2323,,09Г2С,,,, 220,,Круг  г/к, ,75 990 1-5т
2324,,ст3,,,, 220,,Круг  г/к, ,68 990 1-5т
2325,,ст20,,,, 220,,Круг  г/к, ,68 990 1-5т
2326,,ст35,,,, 220,,Круг  г/к, ,68 990 1-5т
2327,,18ХГТ,,,, 220,,Круг  г/к, ,86 990 1-5т
2328,,09Г2С,,,, 220,,Круг  г/к, ,75 990 1-5т
2329,,ст45,,,, 220,,Круг  г/к, ,68 990 1-5т
2330,,65Г,,,, 220,,Круг  г/к, ,79 990 1-5т
2331,,12ХН3А,,,, 230,,Круг  г/к, ,206 990 1-5т
2332,,40ХН2МА,,,, 230,,Круг  г/к, ,155 990 1-5т
2333,,9ХС,,,, 230,,Круг  г/к, ,109 990 1-5т
2334,,ст20,,,, 230,,Круг  г/к, ,68 990 1-5т
2335,,65Г,,,, 230,,Круг  г/к, ,89 990 1-5т
2336,,18ХГТ,,,, 230,,Круг  г/к, ,89 990 1-5т
2337,,38Х2МЮА,,,, 230,,Круг  г/к, ,129 990 1-5т
2338,,40Х,,,, 230,,Круг  г/к, ,79 990 1-5т
2339,,20Х,,,, 230,,Круг  г/к, ,79 990 1-5т
2340,,ст3,,,, 230,,Круг  г/к, ,68 990 1-5т
2341,,65Г,,,, 230,,Круг  г/к, ,89 990 1-5т
2342,,40Х,,,, 230,,Круг  г/к, ,79 990 1-5т
2343,,18ХГТ,,,, 65,,Круг  г/к, ,59 990 1-5т
2344,,18ХГТ,,,, 230,,Круг  г/к, ,89 990 1-5т
2345,,30ХГСА,,,, 230,,Круг  г/к, ,86 990 1-5т
2346,,38Х2МЮА,,,, 230,,Круг  г/к, ,129 990 1-5т
2347,,ст20,,,, 230,,Круг  г/к, ,68 990 1-5т
2348,,09Г2С,,,, 230,,Круг  г/к, ,78 990 1-5т
2349,,ст35,,,, 230,,Круг  г/к, ,68 990 1-5т
2350,,ст45,,,, 230,,Круг  г/к, ,68 990 1-5т
2351,,ст3,,,, 180,,Круг  г/к, ,53 990 1-5т
2352,,У8А,,,, 65,,Круг  г/к, ,73 990 1-5т
2353,,12Х18Н10Т,,,, 22,,Круг  г/к, ,310 000 1-5т
2354,,12ХН3А,,,, 65,,Круг  г/к, ,199 990 1-5т
2355,,ст3,,,, 22,,Круг  г/к, ,48 990 1-5т
2356,,40Х,,,, 22,,Круг  г/к, ,52 690 1-5т
2357,,ст45,,,, 22,,Круг  г/к, ,48 990 1-5т
2358,,ст35,,,, 22,,Круг  г/к, ,48 990 1-5т
2359,,09Г2С,,,, 22,,Круг  г/к, ,53 990 1-5т
2360,,ст20,,,, 22,,Круг  г/к, ,48 990 1-5т
2361,,09Г2С,,,, 22,,Круг  г/к, ,53 990 1-5т
2362,,У8А,,,, 22,,Круг  г/к, ,73 990 1-5т
2363,,40Х13,,,, 140,,Круг  г/к, ,209 000 1-5т
2364,,30Х13,,,, 140,,Круг  г/к, ,217 000 1-5т
2365,,14Х17Н2,,,, 140,,Круг  г/к, ,290 000 1-5т
2366,,12Х18Н10Т,,,, 140,,Круг  г/к, ,295 000 1-5т
2367,,14Х17Н2,,2-6,, 130,,Круг  г/к, ,298 700 <0.1т
2368,,12Х18Н10Т,,2-6,, 130,,Круг  г/к, ,303 850 <0.1т
2369,,20Х13,,,, 140,,Круг  г/к, ,209 000 1-5т
2370,,40Х,,,, 22,,Круг  г/к, ,52 690 1-5т
2371,,ст45,,,, 22,,Круг  г/к, ,48 990 1-5т
2372,,ст20,,,, 22,,Круг  г/к, ,48 990 1-5т
2373,,40Х,,,, 24,,Круг  г/к, ,52 690 1-5т
2374,,ст45,,,, 24,,Круг  г/к, ,48 990 1-5т
2375,,ст35,,,, 24,,Круг  г/к, ,48 990 1-5т
2376,,09Г2С,,,, 24,,Круг  г/к, ,53 990 1-5т
2377,,14Х17Н2,,2-6,, 56,,Круг  г/к, ,314 150 <0.1т
2378,,30Х13,,,, 150,,Круг  г/к, ,217 000 1-5т
2379,,95Х18,,,, 150,,Круг  г/к, ,380 000 1-5т
2380,,14Х17Н2,,,, 150,,Круг  г/к, ,295 000 1-5т
2381,,12Х18Н10Т,,,, 150,,Круг  г/к, ,294 000 1-5т
2382,,12Х18Н10Т,,2-6,, 145,,Круг  г/к, ,293 550 <0.1т
2383,,12Х18Н10Т,,,, 145,,Круг  г/к, ,285 000 1-5т
2384,,12Х18Н10Т,,2-6,, 140,,Круг  г/к, ,303 850 <0.1т
2385,,14Х17Н2,,2-6,, 140,,Круг  г/к, ,298 700 <0.1т
2386,,06ХН28МДТ AISI904L,,6,, 60,,Круг  г/к, ,1 648 000 <0.1т
2387,,ст35,,,, 22,,Круг  г/к, ,48 990 1-5т
2388,,10Х17Н13М2Т,,,, 60,,Круг  г/к, ,650 000 1-5т
2389,,ст3,,,, 24,,Круг  г/к, ,48 990 1-5т
2390,,14Х17Н2,,,, 60,,Круг  г/к, ,295 000 1-5т
2391,,ст20,,,, 20,,Круг  г/к, ,48 990 1-5т
2392,,40Х13,,,, 60,,Круг  г/к, ,209 000 1-5т
2393,,30Х13,,,, 60,,Круг  г/к, ,215 000 1-5т
2394,,12Х18Н10Т,,2-6,, 60,,Круг  г/к, ,306 837 <0.1т
2395,,14Х17Н2,,2-6,, 60,,Круг  г/к, ,303 850 <0.1т
2396,,10Х17Н13М2Т,,,, 60,,Круг  г/к, ,669 500 <0.1т
2397,,ст3,,,, 20,,Круг  г/к, ,48 990 1-5т
2398,,20Х13,,,, 130,,Круг  г/к, ,209 000 1-5т
2399,,30Х13,,,, 130,,Круг  г/к, ,215 000 1-5т
2400,,14Х17Н2,,,, 130,,Круг  г/к, ,290 000 1-5т
2401,,ст20,,,, 18,,Круг  г/к, ,48 990 1-5т
2402,,ст35,,,, 18,,Круг  г/к, ,48 990 1-5т
2403,,ст3,,,, 18,,Круг  г/к, ,48 990 1-5т
2404,,ст35,,,, 18,,Круг  г/к, ,48 990 1-5т
2405,,ст20,,,, 18,,Круг  г/к, ,48 990 1-5т
2406,,95Х18,,,, 130,,Круг  г/к, ,380 000 1-5т
2407,,95Х18,,,, 60,,Круг  г/к, ,380 000 1-5т
2408,,20Х13,,,, 60,,Круг  г/к, ,209 000 1-5т
2409,,12Х18Н10Т,,,, 60,,Круг  г/к, ,297 900 1-5т
2410,,ст45,,,, 20,,Круг  г/к, ,48 990 1-5т
2411,,65Г,,,, 20,,Круг  г/к, ,77 990 1-5т
2412,,40Х,,,, 20,,Круг  г/к, ,52 690 1-5т
2413,,30ХГСА,,,, 20,,Круг  г/к, ,59 990 1-5т
2414,,20Х,,,, 20,,Круг  г/к, ,52 690 1-5т
2415,,65Г,,,, 20,,Круг  г/к, ,77 990 1-5т
2416,,30ХГСА,,,, 20,,Круг  г/к, ,59 990 1-5т
2417,,40Х,,,, 20,,Круг  г/к, ,52 690 1-5т
2418,,20Х,,,, 20,,Круг  г/к, ,52 690 1-5т
2419,,ст45,,,, 20,,Круг  г/к, ,48 990 1-5т
2420,,09Г2С,,,, 20,,Круг  г/к, ,53 990 1-5т
2421,,ст20,,,, 20,,Круг  г/к, ,48 990 1-5т
2422,,9ХС,,,, 20,,Круг  г/к, ,102 990 1-5т
2423,,У8А,,,, 20,,Круг  г/к, ,73 990 1-5т
2424,,40ХН,,,, 20,,Круг  г/к, ,119 990 1-5т
2425,,09Г2С,,,, 20,,Круг  г/к, ,53 990 1-5т
2426,,9ХС,,,, 18,,Круг  г/к, ,102 990 1-5т
2427,,ст45,,,, 24,,Круг  г/к, ,48 990 1-5т
2428,,ст35,,,, 24,,Круг  г/к, ,48 990 1-5т
2429,,У8А,,,, 28,,Круг  г/к, ,73 990 1-5т
2430,,12Х18Н10Т,,2-6,, 52,,Круг  г/к, ,309 000 <0.1т
2431,,14Х17Н2,,,, 170,,Круг  г/к, ,295 000 1-5т
2432,,12Х18Н10Т,,,, 170,,Круг  г/к, ,295 000 1-5т
2433,,14Х17Н2,,2-6,, 160,,Круг  г/к, ,303 850 <0.1т
2434,,12Х18Н10Т,,2-6,, 160,,Круг  г/к, ,302 820 <0.1т
2435,,40Х,,,, 28,,Круг  г/к, ,52 690 1-5т
2436,,95Х18,,,, 160,,Круг  г/к, ,380 000 1-5т
2437,,40Х13,,,, 160,,Круг  г/к, ,209 000 1-5т
2438,,14Х17Н2,,,, 160,,Круг  г/к, ,295 000 1-5т
2439,,ст20,,,, 26,,Круг  г/к, ,48 990 1-5т
2440,,ст35,,,, 26,,Круг  г/к, ,48 990 1-5т
2441,,40Х,,,, 26,,Круг  г/к, ,52 690 1-5т
2442,,ст45,,,, 26,,Круг  г/к, ,48 990 1-5т
2443,,30Х13,,,, 160,,Круг  г/к, ,215 000 1-5т
2444,,ст45,,,, 28,,Круг  г/к, ,48 990 1-5т
2445,,ст35,,,, 28,,Круг  г/к, ,48 990 1-5т
2446,,ст20,,,, 28,,Круг  г/к, ,48 990 1-5т
2447,,40Х13,,,, 50,,Круг  г/к, ,209 000 1-5т
2448,,10Х17Н13М2Т,,,, 90,,Круг  г/к, ,650 000 1-5т
2449,,10Х17Н13М2Т,,,, 50,,Круг  г/к, ,669 500 <0.1т
2450,,14Х17Н2,,2-6,, 50,,Круг  г/к, ,314 150 <0.1т
2451,,20Х13,,,, 170,,Круг  г/к, ,209 000 1-5т
2452,,12Х18Н10Т,,,, 52,,Круг  г/к, ,300 000 1-5т
2453,,40Х13,,,, 52,,Круг  г/к, ,209 000 1-5т
2454,,20Х13,,,, 52,,Круг  г/к, ,209 000 1-5т
2455,,09Г2С,,,, 28,,Круг  г/к, ,53 990 1-5т
2456,,ст35,,,, 28,,Круг  г/к, ,48 990 1-5т
2457,,40Х,,,, 28,,Круг  г/к, ,52 690 1-5т
2458,,ст20,,,, 28,,Круг  г/к, ,48 990 1-5т
2459,,ст45,,,, 28,,Круг  г/к, ,48 990 1-5т
2460,,ст3,,,, 28,,Круг  г/к, ,48 990 1-5т
2461,,09Г2С,,,, 28,,Круг  г/к, ,53 990 1-5т
2462,,40Х,,,, 26,,Круг  г/к, ,52 690 1-5т
2463,,40Х,,,, 24,,Круг  г/к, ,52 690 1-5т
2464,,ст45,,,, 26,,Круг  г/к, ,48 990 1-5т
2465,,ст20,,,, 26,,Круг  г/к, ,48 990 1-5т
2466,,09Г2С,,,, 25,,Круг  г/к, ,53 990 1-5т
2467,,12Х18Н10Т,,2-6,, 150,,Круг  г/к, ,302 820 <0.1т
2468,,40Х,,,, 25,,Круг  г/к, ,52 690 1-5т
2469,,У8А,,,, 25,,Круг  г/к, ,73 990 1-5т
2470,,40ХН,,,, 25,,Круг  г/к, ,119 990 1-5т
2471,,14Х17Н2,,2-6,, 150,,Круг  г/к, ,303 850 <0.1т
2472,,ст35,,,, 25,,Круг  г/к, ,48 990 1-5т
2473,,40Х13,,,, 150,,Круг  г/к, ,209 000 1-5т
2474,,30Х13,,,, 56,,Круг  г/к, ,218 000 1-5т
2475,,40Х13,,,, 56,,Круг  г/к, ,209 000 1-5т
2476,,20Х13,,,, 56,,Круг  г/к, ,209 000 1-5т
2477,,12Х18Н10Т,,2-6,, 56,,Круг  г/к, ,307 970 <0.1т
2478,,ст3,,,, 25,,Круг  г/к, ,48 990 1-5т
2479,,09Г2С,,,, 24,,Круг  г/к, ,53 990 1-5т
2480,,14Х17Н2,,,, 56,,Круг  г/к, ,305 000 1-5т
2481,,ст45,,,, 25,,Круг  г/к, ,48 990 1-5т
2482,,ст20,,,, 25,,Круг  г/к, ,48 990 1-5т
2483,,20Х,,,, 25,,Круг  г/к, ,52 690 1-5т
2484,,9ХС,,,, 26,,Круг  г/к, ,102 990 1-5т
2485,,12Х18Н10Т,,,, 55,,Круг  г/к, ,300 000 1-5т
2486,,12Х18Н10Т,,,, 160,,Круг  г/к, ,294 000 1-5т
2487,,14Х17Н2,,,, 55,,Круг  г/к, ,305 000 1-5т
2488,,20Х13,,,, 55,,Круг  г/к, ,209 000 1-5т
2489,,12Х18Н10Т,,2-6,, 55,,Круг  г/к, ,309 000 <0.1т
2490,,14Х17Н2,,2-6,, 55,,Круг  г/к, ,314 150 <0.1т
2491,,12Х18Н10Т,,2-6,, 155,,Круг  г/к, ,309 000 <0.1т
2492,,12Х18Н10Т,,,, 155,,Круг  г/к, ,300 000 1-5т
2493,,20Х,,,, 25,,Круг  г/к, ,52 690 1-5т
2494,,ст35,,,, 25,,Круг  г/к, ,48 990 1-5т
2495,,09Г2С,,,, 25,,Круг  г/к, ,53 990 1-5т
2496,,ст45,,,, 25,,Круг  г/к, ,48 990 1-5т
2497,,40Х,,,, 25,,Круг  г/к, ,52 690 1-5т
2498,,ст20,,,, 25,,Круг  г/к, ,48 990 1-5т
2499,,ст35,,,, 26,,Круг  г/к, ,48 990 1-5т
2500,,У8А,,,, 18,,Круг  г/к, ,73 990 1-5т
2501,,12Х18Н10Т,,,, 130,,Круг  г/к, ,295 000 1-5т
2502,,20Х23Н18 AISI310S,,5-6,, 130,,Круг  г/к, DIN 1013 ,648 900 <0.1т
2503,,20Х13,,,, 75,,Круг  г/к, ,209 000 1-5т
2504,,12Х18Н10Т,,2-6,, 75,,Круг  г/к, ,305 910 <0.1т
2505,,14Х17Н2,,2-6,, 75,,Круг  г/к, ,303 850 <0.1т
2506,,06ХН28МДТ AISI904L,,,, 80,,Круг  г/к, ,1 600 000 1-5т
2507,,40Х13,,,, 105,,Круг  г/к, ,209 000 1-5т
2508,,20Х13,,,, 105,,Круг  г/к, ,209 000 1-5т
2509,,40Х13,,,, 75,,Круг  г/к, ,209 000 1-5т
2510,,14Х17Н2,,,, 105,,Круг  г/к, ,295 000 1-5т
2511,,14Х17Н2,,2-6,, 100,,Круг  г/к, ,309 000 <0.1т
2512,,10Х17Н13М2Т,,,, 100,,Круг  г/к, ,669 500 <0.1т
2513,,06ХН28МДТ AISI904L,,6,, 80,,Круг  г/к, ,1 648 000 <0.1т
2514,,12Х18Н10Т,,2-6,, 100,,Круг  г/к, ,303 850 <0.1т
2515,,95Х18,,,, 100,,Круг  г/к, ,380 000 1-5т
2516,,40Х13,,,, 100,,Круг  г/к, ,209 000 1-5т
2517,,12Х18Н10Т,,,, 105,,Круг  г/к, ,295 000 1-5т
2518,,95Х18,,,, 75,,Круг  г/к, ,380 000 1-5т
2519,,30Х13,,,, 75,,Круг  г/к, ,218 000 1-5т
2520,,14Х17Н2,,,, 75,,Круг  г/к, ,295 000 1-5т
2521,,12Х18Н10Т,,,, 110,,Круг  г/к, ,295 000 1-5т
2522,,10Х17Н13М2Т,,,, 110,,Круг  г/к, ,650 000 1-5т
2523,,06ХН28МДТ AISI904L,,6,, 110,,Круг  г/к, ,1 648 000 <0.1т
2524,,65Г,,,, 10,,Круг  г/к, ,77 990 1-5т
2525,,ст45,,,, 10,,Круг  г/к, ,55 990 1-5т
2526,,ст20,,,, 10,,Круг  г/к, ,55 990 1-5т
2527,,ст3,,,, 10,,Круг  г/к, ,54 990 1-5т
2528,,ст45,,,, 10,,Круг  г/к, ,55 990 1-5т
2529,,65Г,,,, 10,,Круг  г/к, ,77 990 1-5т
2530,,ст20,,,, 10,,Круг  г/к, ,55 990 1-5т
2531,,У8А,,,, 10,,Круг  г/к, ,79 990 1-5т
2532,,06ХН28МДТ AISI904L,,,, 110,,Круг  г/к, ,1 600 000 1-5т
2533,,14Х17Н2,,2-6,, 105,,Круг  г/к, ,303 850 <0.1т
2534,,12Х18Н10Т,,2-6,, 105,,Круг  г/к, ,303 850 <0.1т
2535,,12Х18Н10Т,,,, 75,,Круг  г/к, ,297 000 1-5т
2536,,30Х13,,,, 100,,Круг  г/к, ,217 000 1-5т
2537,,40Х13,,,, 110,,Круг  г/к, ,209 000 1-5т
2538,,20Х13,,,, 100,,Круг  г/к, ,209 000 1-5т
2539,,06ХН28МДТ AISI904L,,,, 100,,Круг  г/к, ,1 600 000 1-5т
2540,,14Х17Н2,,2-6,, 85,,Круг  г/к, ,303 850 <0.1т
2541,,12Х18Н10Т,,2-6,, 95,,Круг  г/к, ,309 000 <0.1т
2542,,06ХН28МДТ AISI904L,,,, 90,,Круг  г/к, ,1 600 000 1-5т
2543,,14Х17Н2,,2-6,, 95,,Круг  г/к, ,303 850 <0.1т
2544,,12Х18Н10Т,,2-6,, 90,,Круг  г/к, ,303 850 <0.1т
2545,,14Х17Н2,,2-6,, 90,,Круг  г/к, ,303 850 <0.1т
2546,,12Х18Н10Т,,2-6,, 85,,Круг  г/к, ,305 910 <0.1т
2547,,10Х17Н13М2Т,,,, 90,,Круг  г/к, ,669 500 <0.1т
2548,,06ХН28МДТ AISI904L,,6,, 90,,Круг  г/к, ,1 648 000 <0.1т
2549,,30Х13,,,, 90,,Круг  г/к, ,217 000 1-5т
2550,,95Х18,,,, 90,,Круг  г/к, ,380 000 1-5т
2551,,20Х13,,,, 90,,Круг  г/к, ,209 000 1-5т
2552,,14Х17Н2,,,, 90,,Круг  г/к, ,295 000 1-5т
2553,,12Х18Н10Т,,,, 90,,Круг  г/к, ,295 000 1-5т
2554,,40Х13,,,, 90,,Круг  г/к, ,209 000 1-5т
2555,,20Х13,,,, 85,,Круг  г/к, ,209 000 1-5т
2556,,95Х18,,,, 85,,Круг  г/к, ,380 000 1-5т
2557,,40Х13,,,, 85,,Круг  г/к, ,209 000 1-5т
2558,,12Х18Н10Т,,,, 80,,Круг  г/к, ,295 000 1-5т
2559,,14Х17Н2,,,, 80,,Круг  г/к, ,295 000 1-5т
2560,,12Х18Н10Т,,,, 100,,Круг  г/к, ,295 000 1-5т
2561,,14Х17Н2,,,, 100,,Круг  г/к, ,300 000 1-5т
2562,,95Х18,,,, 80,,Круг  г/к, ,380 000 1-5т
2563,,40Х13,,,, 80,,Круг  г/к, ,209 000 1-5т
2564,,30Х13,,,, 80,,Круг  г/к, ,215 000 1-5т
2565,,20Х13,,,, 80,,Круг  г/к, ,209 000 1-5т
2566,,12Х18Н10Т,,2-6,, 80,,Круг  г/к, ,303 850 <0.1т
2567,,20Х23Н18,,2-6,, 80,,Круг  г/к, ,719 970 <0.1т
2568,,10Х17Н13М2Т,,,, 80,,Круг  г/к, ,669 500 <0.1т
2569,,14Х17Н2,,2-6,, 80,,Круг  г/к, ,303 850 <0.1т
2570,,06ХН28МДТ AISI904L,,6,, 100,,Круг  г/к, ,1 648 000 <0.1т
2571,,14Х17Н2,,,, 85,,Круг  г/к, ,295 000 1-5т
2572,,12Х18Н10Т,,,, 85,,Круг  г/к, ,297 000 1-5т
2573,,10Х17Н13М2Т,,,, 100,,Круг  г/к, ,650 000 1-5т
2574,,ст3,,,, 12,,Круг  г/к, ,53 990 1-5т
2575,,14Х17Н2,,2-6,, 70,,Круг  г/к, ,303 850 <0.1т
2576,,12Х18Н10Т,,2-6,, 70,,Круг  г/к, ,307 970 <0.1т
2577,,95Х18,,,, 120,,Круг  г/к, ,380 000 1-5т
2578,,ст20,,,, 16,,Круг  г/к, ,48 990 1-5т
2579,,9ХС,,,, 16,,Круг  г/к, ,102 990 1-5т
2580,,У8А,,,, 16,,Круг  г/к, ,73 990 1-5т
2581,,20Х13,,,, 65,,Круг  г/к, ,209 000 1-5т
2582,,30Х13,,,, 65,,Круг  г/к, ,215 000 1-5т
2583,,09Г2С,,,, 16,,Круг  г/к, ,53 990 1-5т
2584,,40Х13,,,, 65,,Круг  г/к, ,209 000 1-5т
2585,,12Х18Н10Т,,2-6,, 65,,Круг  г/к, ,309 000 <0.1т
2586,,14Х17Н2,,2-6,, 65,,Круг  г/к, ,303 850 <0.1т
2587,,06ХН28МДТ AISI904L,,,, 70,,Круг  г/к, ,1 600 000 1-5т
2588,,14Х17Н2,,,, 120,,Круг  г/к, ,295 000 1-5т
2589,,ст3,,,, 16,,Круг  г/к, ,48 990 1-5т
2590,,12Х18Н10Т,,,, 120,,Круг  г/к, ,295 000 1-5т
2591,,95Х18,,,, 65,,Круг  г/к, ,380 000 1-5т
2592,,40Х,,,, 16,,Круг  г/к, ,52 690 1-5т
2593,,65Г,,,, 16,,Круг  г/к, ,77 990 1-5т
2594,,30ХГСА,,,, 16,,Круг  г/к, ,59 990 1-5т
2595,,12Х18Н10Т,,2-6,, 125,,Круг  г/к, ,303 850 <0.1т
2596,,12Х18Н10Т,,,, 125,,Круг  г/к, ,295 000 1-5т
2597,,14Х17Н2,,2-6,, 120,,Круг  г/к, ,303 850 <0.1т
2598,,10Х17Н13М2Т,,,, 120,,Круг  г/к, ,669 500 <0.1т
